Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%),Anomaly2 (deg C)
1850,-0.41765878,-0.589203,-0.24611452,-0.06115878
1851,-0.2333498,-0.41186792,-0.054831687,0.1231502
1852,-0.22939907,-0.40938243,-0.04941572,0.12710093
1853,-0.27035445,-0.43000934,-0.110699534,0.08614555
1854,-0.29163003,-0.43282393,-0.15043613,0.06486997
1855,-0.2969512,-0.43935776,-0.15454465,0.0595488
1856,-0.32035372,-0.46809322,-0.1726142,0.03614628
1857,-0.46723005,-0.61632216,-0.31813794,-0.11073005
1858,-0.3887657,-0.53688604,-0.24064532,-0.0322657
1859,-0.28119546,-0.42384982,-0.13854107,0.07530454
1860,-0.39016518,-0.5389766,-0.24135375,-0.03366518
1861,-0.42927712,-0.5972301,-0.26132414,-0.07277712
1862,-0.53639776,-0.7037096,-0.36908585,-0.17989776
1863,-0.3443432,-0.5341645,-0.1545219,0.0121568
1864,-0.4654367,-0.6480974,-0.282776,-0.1089367
1865,-0.33258784,-0.5246526,-0.14052312,0.02391216
1866,-0.34126064,-0.52183825,-0.16068307,0.01523936
1867,-0.35696334,-0.55306214,-0.16086453,-0.00046334
1868,-0.35196072,-0.52965826,-0.17426313,0.00453928
1869,-0.31657043,-0.47642276,-0.15671812,0.03992957
1870,-0.32789087,-0.46867347,-0.18710826,0.02860913
1871,-0.3685807,-0.5141493,-0.22301209,-0.0120807
1872,-0.32804197,-0.4630833,-0.19300064,0.02845803
1873,-0.34133235,-0.4725396,-0.21012507,0.01516765
1874,-0.3732512,-0.5071426,-0.2393598,-0.0167512
1875,-0.37562594,-0.514041,-0.23721085,-0.01912594
1876,-0.42410994,-0.56287116,-0.28534868,-0.06760994
1877,-0.101108834,-0.22982001,0.027602348,0.255391166
1878,-0.011315193,-0.13121258,0.10858219,0.345184807
1879,-0.30363432,-0.43406433,-0.1732043,0.05286568
1880,-0.31583208,-0.44015095,-0.19151321,0.04066792
1881,-0.23224552,-0.35793498,-0.10655605,0.12425448
1882,-0.29553008,-0.4201501,-0.17091006,0.06096992
1883,-0.3464744,-0.4608177,-0.23213111,0.0100256
1884,-0.49232006,-0.6026686,-0.38197154,-0.13582006
1885,-0.47112358,-0.5830682,-0.35917896,-0.11462358
1886,-0.42090362,-0.5225382,-0.31926903,-0.06440362
1887,-0.49878576,-0.61655986,-0.3810117,-0.14228576
1888,-0.37937889,-0.49332377,-0.265434,-0.02287889
1889,-0.24989556,-0.37222093,-0.12757017,0.10660444
1890,-0.50685817,-0.6324095,-0.3813068,-0.15035817
1891,-0.40131494,-0.5373699,-0.26525995,-0.04481494
1892,-0.5075585,-0.64432853,-0.3707885,-0.1510585
1893,-0.49461925,-0.6315314,-0.35770702,-0.13811925
1894,-0.48376393,-0.6255681,-0.34195974,-0.12726393
1895,-0.4487516,-0.58202064,-0.3154826,-0.0922516
1896,-0.28400728,-0.4174015,-0.15061308,0.07249272
1897,-0.25980017,-0.39852425,-0.12107607,0.09669983
1898,-0.48579213,-0.6176492,-0.35393503,-0.12929213
1899,-0.35543364,-0.48639694,-0.22447036,0.00106636
1900,-0.23447904,-0.3669676,-0.10199049,0.12202096
1901,-0.29342857,-0.42967388,-0.15718324,0.06307143
1902,-0.43898427,-0.5754281,-0.30254042,-0.08248427
1903,-0.5333264,-0.66081935,-0.40583345,-0.1768264
1904,-0.5975614,-0.7288325,-0.46629035,-0.2410614
1905,-0.40775132,-0.5350291,-0.28047356,-0.05125132
1906,-0.3191393,-0.45052385,-0.18775477,0.0373607
1907,-0.5041577,-0.6262818,-0.38203365,-0.1476577
1908,-0.5138707,-0.63748026,-0.3902612,-0.1573707
1909,-0.5357649,-0.6526296,-0.41890016,-0.1792649
1910,-0.5310242,-0.6556868,-0.40636164,-0.1745242
1911,-0.5392051,-0.66223973,-0.4161705,-0.1827051
1912,-0.47567302,-0.5893311,-0.36201498,-0.11917302
1913,-0.46715254,-0.5893755,-0.34492958,-0.11065254
1914,-0.2625924,-0.38276345,-0.1424214,0.0939076
1915,-0.19184391,-0.32196194,-0.06172589,0.16465609
1916,-0.42020997,-0.5588941,-0.28152588,-0.06370997
1917,-0.54301953,-0.6921192,-0.3939199,-0.18651953
1918,-0.42458433,-0.58198184,-0.26718682,-0.06808433
1919,-0.32551822,-0.48145813,-0.1695783,0.03098178
1920,-0.2985808,-0.44860035,-0.14856121,0.0579192
1921,-0.24067703,-0.38175339,-0.09960067,0.11582297
1922,-0.33922812,-0.46610323,-0.21235302,0.01727188
1923,-0.31793055,-0.444173,-0.1916881,0.03856945
1924,-0.3120622,-0.4388317,-0.18529275,0.0444378
1925,-0.28242525,-0.4147755,-0.15007503,0.07407475
1926,-0.12283547,-0.25264767,0.006976739,0.23366453
1927,-0.22940508,-0.35135695,-0.10745319,0.12709492
1928,-0.20676155,-0.33881804,-0.074705064,0.14973845
1929,-0.39275664,-0.52656746,-0.25894582,-0.03625664
1930,-0.1768054,-0.29041144,-0.06319936,0.1796946
1931,-0.10339768,-0.2126916,0.005896248,0.25310232
1932,-0.14546166,-0.25195515,-0.0389682,0.21103834
1933,-0.32234442,-0.4271004,-0.21758842,0.03415558
1934,-0.17433685,-0.27400395,-0.07466974,0.18216315
1935,-0.20605922,-0.30349734,-0.10862111,0.15044078
1936,-0.16952093,-0.26351926,-0.07552261,0.18697907
1937,-0.01919893,-0.11975875,0.08136089,0.33730107
1938,-0.012200732,-0.11030374,0.08590227,0.344299268
1939,-0.040797167,-0.14670466,0.065110326,0.315702833
1940,0.07593584,-0.04194966,0.19382134,0.43243584
1941,0.038129337,-0.16225387,0.23851255,0.394629337
1942,0.001406091,-0.1952124,0.19802457,0.357906091
